country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1168e3,1232e3,1318e3,1431e3,1572e3,1748e3,1809e3,1572e3,1599e3,222e4,2452e3,2883e3,3425e3,4103e3,4862e3,5731e3,6791e3,8092e3,9638e3,11353e3,13148e3
Albania,174e3,205e3,231e3,256e3,302e3,348e3,419e3,484e3,539e3,572e3,63e4,707e3,763e3,781e3,763e3,793e3,863e3,946e3,996e3,934e3,843e3
Algeria,133e4,1406e3,1473e3,1502e3,1643e3,1973e3,2388e3,2634e3,2982e3,357e4,4314e3,5481e3,6798e3,8097e3,962e4,11226e3,12525e3,13323e3,13115e3,12594e3,12339e3
Angola,618e3,665e3,719e3,769e3,824e3,892e3,987e3,1122e3,1222e3,1419e3,1637e3,1946e3,23e5,2678e3,3131e3,3691e3,4398e3,5264e3,6173e3,7224e3,8231e3
Argentina,353e4,4025e3,4455e3,4895e3,5316e3,5668e3,5889e3,6119e3,6485e3,7003e3,7619e3,8177e3,8662e3,9277e3,1029e4,11137e3,11974e3,12629e3,12784e3,12916e3,13023e3
Armenia,225e3,259e3,264e3,285e3,386e3,486e3,639e3,647e3,637e3,621e3,647e3,779e3,809e3,772e3,726e3,742e3,852e3,92e4,882e3,808e3,725e3
Aruba,5e3,6e3,7e3,8e3,9e3,1e4,11e3,12e3,15e3,2e4,25e3,31e3,36e3,37e3,34e3,3e4,27e3,27e3,27e3,28e3,27e3
Australia,1893e3,2105e3,2327e3,2627e3,2849e3,2896e3,3064e3,3286e3,3789e3,4364e3,5015e3,559e4,586e4,6129e3,6188e3,6268e3,6421e3,6549e3,6734e3,6815e3,6915e3
Austria,1969e3,1989e3,1799e3,1757e3,1705e3,1652e3,1768e3,1799e3,1846e3,1959e3,2103e3,2303e3,2506e3,2583e3,2513e3,239e4,2263e3,2234e3,2207e3,2121e3,2031e3
Azerbaijan,52e4,597e3,586e3,601e3,728e3,885e3,1146e3,1153e3,1131e3,1199e3,1418e3,1876e3,2234e3,2388e3,2393e3,2446e3,2707e3,2947e3,2972e3,284e4,2706e3
Bahamas,12e3,14e3,17e3,2e4,25e3,27e3,29e3,33e3,39e3,48e3,58e3,71e3,83e3,95e3,1e5,106e3,109e3,114e3,119e3,119e3,12e4
Bahrain,15e3,18e3,19e3,22e3,28e3,34e3,47e3,57e3,68e3,91e3,123e3,145e3,172e3,228e3,272e3,3e5,314e3,323e3,33e4,34e4,342e3
Bangladesh,7069e3,7498e3,8003e3,8767e3,9686e3,10658e3,1181e4,13022e3,1453e4,17121e3,20293e3,24272e3,2915e4,34656e3,41246e3,48156e3,54082e3,58366e3,60972e3,61995e3,6151e4
Barbados,4e4,45e3,46e3,44e3,42e3,42e3,38e3,39e3,42e3,52e3,63e3,73e3,8e4,82e3,77e3,74e3,72e3,68e3,66e3,61e3,56e3
Belarus,1671e3,1723e3,1636e3,1671e3,1914e3,2154e3,2542e3,2455e3,2344e3,2395e3,2513e3,2781e3,2794e3,2755e3,2654e3,2671e3,2793e3,2694e3,2447e3,213e4,185e4
