country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,367e3,386e3,409e3,44e4,482e3,534e3,555e3,484e3,49e4,695e3,777e3,916e3,1108e3,1294e3,151e4,1765e3,2089e3,2492e3,299e4,3615e3,4399e3
Albania,123e3,119e3,121e3,127e3,142e3,165e3,205e3,22e4,257e3,295e3,336e3,383e3,433e3,497e3,589e3,672e3,736e3,773e3,804e3,871e3,96e4
Algeria,596e3,624e3,632e3,607e3,862e3,974e3,111e4,1211e3,1379e3,1647e3,191e4,212e4,2441e3,3032e3,3739e3,4746e3,5935e3,7257e3,8785e3,10536e3,12059e3
Angola,205e3,213e3,229e3,25e4,274e3,307e3,35e4,406e3,45e4,511e3,568e3,653e3,749e3,898e3,1078e3,1299e3,1555e3,1846e3,222e4,2695e3,3294e3
Argentina,1208e3,1527e3,1868e3,2233e3,2634e3,3053e3,3417e3,3842e3,4305e3,4707e3,507e4,5463e3,5991e3,6615e3,7281e3,7953e3,8645e3,9508e3,1072e4,11731e3,12706e3
Armenia,165e3,16e4,161e3,181e3,21e4,236e3,238e3,269e3,355e3,403e3,466e3,44e4,448e3,508e3,607e3,691e3,71e4,715e3,741e3,81e4,897e3
Aruba,0,1e3,2e3,2e3,4e3,4e3,6e3,6e3,6e3,8e3,1e4,11e3,15e3,18e3,24e3,28e3,32e3,33e3,33e3,33e3,3e4
Australia,1024e3,1145e3,1259e3,1407e3,1558e3,1743e3,2004e3,2342e3,2654e3,2901e3,3194e3,3583e3,4199e3,4833e3,5523e3,6223e3,681e4,737e4,7745e3,8125e3,8482e3
Austria,1071e3,1159e3,128e4,1414e3,15e5,1537e3,1442e3,1497e3,1548e3,1569e3,165e4,1807e3,1935e3,2067e3,2274e3,2554e3,2804e3,2929e3,2972e3,3029e3,3049e3
Azerbaijan,321e3,333e3,344e3,375e3,418e3,448e3,439e3,477e3,53e4,629e3,725e3,754e3,776e3,943e3,1245e3,1608e3,1854e3,2025e3,2164e3,2379e3,2667e3
Bahamas,5e3,6e3,6e3,8e3,9e3,11e3,12e3,14e3,15e3,2e4,24e3,29e3,34e3,43e3,54e3,67e3,79e3,92e3,101e3,112e3,12e4
Bahrain,5e3,6e3,7e3,6e3,7e3,11e3,12e3,15e3,18e3,22e3,29e3,28e3,3e4,41e3,63e3,99e3,147e3,197e3,242e3,277e3,31e4
